Account_ID,Account_Name,Current_Rep,ARR,Location,Num_Employees,Num_Marketers,Risk_Score
ACC-1000,Acme Corp,Lisa Wang,45177,TX,54503,4360,99
ACC-1001,TechStart Inc,Michael Brown,80367,NY,86168,6893,44
ACC-1002,GreenLeaf Solutions,Rachel Patel,372623,NY,190538,15245,3
ACC-1003,MedConnect Health,Rachel Patel,53388,TX,82643,6614,43
ACC-1004,PrimeWell Insurance,David Kim,19321,TX,51913,4154,1
ACC-1005,Atlas Energy,David Kim,413893,NC,149741,11980,19
ACC-1006,Summit Capital,Chris Johnson,340913,MI,3061,246,49
ACC-1007,DataSphere Analytics,David Kim,488940,NC,198511,15881,15
ACC-1008,MediFlow Logistics,David Kim,376632,OH,198904,15913,23
ACC-1009,PharmaBridge Supply,Lisa Wang,349511,MI,143352,11468,93
ACC-1010,BulkMart Retail,Michael Brown,285656,TX,5487,441,71
ACC-1011,CarePath Benefits,Chris Johnson,126521,GA,127982,10240,44
ACC-1012,SignalWave Telecom,Lisa Wang,41806,FL,18093,1449,61
ACC-1013,CloudNova Systems,Rachel Patel,182793,PA,92662,7415,8
ACC-1014,VitalSource Medical,Chris Johnson,456854,TX,9554,764,1
ACC-1015,Horizon Petroleum,Sarah Chen,330235,NC,86212,6898,68
ACC-1016,BuildRight Hardware,Lisa Wang,111667,CA,27895,2232,28
ACC-1017,QuickCare Pharmacy,Sarah Chen,105255,CA,183447,14676,35
ACC-1018,TrailBlaze Fuels,James Miller,393953,GA,83649,6692,60
ACC-1019,WellBridge Health,Chris Johnson,24240,IL,29734,2379,70
ACC-1020,Apex Auto Manufacturing,Alex Torres,248440,IL,111469,8917,56
ACC-1021,MotionDrive Vehicles,David Kim,444656,TX,110190,8818,43
ACC-1022,Pinnacle Financial,Maria Garcia,300880,IL,78435,6275,5
ACC-1023,NetPulse Communications,Alex Torres,154033,FL,181066,14488,16
ACC-1024,HealthFirst Managed Care,James Miller,243538,MI,113652,9093,65
ACC-1025,SocialGrid Technologies,Sarah Chen,35764,TX,158500,12680,85
ACC-1026,StreamLine Media,Chris Johnson,445549,OH,7536,602,20
ACC-1027,FuelCraft Energy,Lisa Wang,41602,NC,178713,14299,25
ACC-1028,SunRidge Refining,Alex Torres,80298,PA,133662,10693,4
ACC-1029,ByteForce Computing,Michael Brown,271319,MI,47848,3827,3
ACC-1030,ShopSmart Retail,Emily Davis,226223,NC,24508,1963,43
ACC-1031,HomeBase Mortgage,Chris Johnson,381301,TX,54079,4328,51
ACC-1032,SwiftShip Logistics,Michael Brown,100493,CA,169863,13590,27
ACC-1033,RenovateRight Supplies,Maria Garcia,309609,IL,137522,11003,6
ACC-1034,Liberty Banking,James Miller,478784,GA,40962,3277,28
